x1, y1, x2, y2, Type
0,38,639,437,Retangle
328,39,328,436,Line
330,39,330,436,Line
525,387,623,428,Retangle
526,427,622,427,Line
622,388,622,427,Line
412,388,508,427,Retangle
414,425,508,425,Line
506,389,506,427,Line
24,19,199,37,Retangle
1,20,24,38,Retangle
287,20,638,37,Retangle
199,19,287,37,Retangle
1,38,638,38,Line
1,438,638,455,Retangle
1,455,638,455,Line
132,49,230,86,Retangle
133,84,230,84,Line
228,50,228,86,Line
231,49,322,86,Retangle
232,84,322,84,Line
320,50,320,86,Line
5,86,322,86,Line
132,87,230,124,Retangle
133,122,230,122,Line
228,88,228,124,Line
231,87,322,124,Retangle
232,122,322,122,Line
320,89,320,124,Line
6,124,322,124,Line
132,143,323,143,Line
132,144,230,181,Retangle
133,179,230,179,Line
228,145,228,181,Line
231,144,322,181,Retangle
232,179,322,179,Line
320,145,320,181,Line
131,48,131,181,Line
6,48,323,181,Box
5,47,324,182,Box
473,48,551,85,Retangle
474,83,551,83,Line
549,50,549,85,Line
552,48,631,85,Retangle
554,83,631,83,Line
629,50,629,85,Line
551,49,551,85,Line
339,85,632,85,Line
473,104,632,104,Line
473,105,551,142,Retangle
474,140,550,140,Line
549,106,549,142,Line
552,105,631,142,Retangle
553,140,631,140,Line
629,106,629,142,Line
551,105,551,142,Line
338,48,632,143,Box
337,47,633,144,Box
231,200,322,235,Retangle
233,233,322,233,Line
320,202,320,234,Line
130,236,323,236,Line
131,237,230,273,Retangle
133,271,229,271,Line
228,239,228,273,Line
231,237,322,273,Retangle
233,271,322,271,Line
320,239,320,273,Line
230,199,230,274,Line
130,199,130,274,Line
6,199,323,274,Box
5,198,324,275,Box
472,49,472,143,Line
230,48,230,124,Line
230,143,230,181,Line
131,313,230,349,Retangle
133,347,229,347,Line
228,315,228,349,Line
231,313,322,349,Retangle
233,347,322,347,Line
320,315,320,349,Line
230,313,230,350,Line
130,294,130,350,Line
6,294,323,350,Box
5,293,324,351,Box
130,312,323,312,Line
