x1,y1,x2,y2,Type
0,38,639,437,Retangle
1,19,24,38,Retangle
25,18,88,37,Retangle
88,18,224,37,Retangle
225,19,639,38,Retangle
0,38,639,38,Line
1,438,638,455,Retangle
1,455,638,455,Line
352,39,352,436,Line
354,39,354,436,Line
145,47,208,84,Retangle
147,82,208,82,Line
206,49,206,82,Line
145,47,147,49,Line
209,47,272,84,Retangle
211,82,272,82,Line
270,49,270,82,Line
209,47,211,49,Line
273,47,336,84,Retangle
275,82,336,82,Line
334,49,334,82,Line
273,47,275,49,Line
145,85,240,122,Retangle
147,120,240,120,Line
238,87,238,120,Line
145,85,147,87,Line
241,85,336,122,Retangle
243,120,336,120,Line
334,87,334,120,Line
241,85,243,87,Line
145,123,192,179,Retangle
147,177,192,177,Line
190,125,190,177,Line
145,123,147,125,Line
193,123,240,179,Retangle
195,177,240,177,Line
238,125,238,177,Line
193,123,195,125,Line
241,123,288,179,Retangle
243,177,288,177,Line
286,125,286,177,Line
241,123,243,125,Line
289,123,336,179,Retangle
291,177,336,177,Line
334,125,334,177,Line
289,123,291,125,Line
145,179,337,179,Line
147,176,192,176,Line
195,176,240,176,Line
243,176,288,176,Line
291,176,336,176,Line
16,180,336,217,Box
145,181,335,216,Retangle
148,181,333,181,Line
145,180,145,214,Line
333,214,336,217,Line
16,217,336,255,Box
145,218,335,254,Retangle
148,218,333,218,Line
145,218,145,252,Line
333,252,336,255,Line
16,255,336,293,Box
145,256,335,292,Retangle
148,256,333,256,Line
145,256,145,290,Line
333,290,336,293,Line
145,294,336,331,Retangle
147,329,336,329,Line
334,296,334,329,Line
145,294,147,296,Line
145,332,336,369,Retangle
147,367,336,367,Line
334,334,334,367,Line
145,332,147,334,Line
145,370,336,407,Retangle
147,405,336,405,Line
334,372,334,405,Line
145,370,147,372,Line
15,45,337,408,Box
16,46,336,407,Box
144,47,144,407,Line
16,85,336,85,Line
16,123,336,123,Line
440,56,560,114,Retangle
442,112,560,112,Line
558,58,558,113,Line
361,119,632,432,Retangle
361,119,630,119,Line
361,120,361,430,Line
369,351,488,426,Retangle
371,424,488,424,Line
486,353,486,424,Line
369,351,371,353,Line
426,380,426,390,Line
430,380,430,390,Line
422,388,428,398,Line
428,388,434,398,Line
505,351,624,426,Retangle
507,424,624,424,Line
622,353,622,424,Line
505,351,507,353,Line
562,388,562,398,Line
566,388,566,398,Line
558,379,564,389,Line
564,379,570,389,Line
384,136,616,166,Retangle
376,127,608,158,Retangle
401,177,584,223,Retangle
403,221,584,221,Line
582,179,582,221,Line
401,177,403,179,Line
401,234,584,280,Retangle
403,278,584,278,Line
582,236,582,278,Line
401,234,403,236,Line
401,291,584,337,Retangle
403,335,584,335,Line
582,293,582,335,Line
401,291,403,293,Line
